prefecture,minimum_wage,,
Hokkai Do,960,,
Aomori Ken,898,,
Iwate Ken,893,,
Miyagi Ken,923,,
Akita Ken,897,,
Yamagata Ken,900,,
Fukushima Ken,900,,
Ibaraki Ken,953,,
Tochigi Ken,954,,
Gunma Ken,935,,
Saitama Ken,1028,,
Chiba Ken,1026,,
Tokyo To,1113,,
Kanagawa Ken,1112,,
Niigata Ken,931,,
Toyama Ken,948,,
Ishikawa Ken,933,,
Fukui Ken,931,,
Yamanashi Ken,938,,
Nagano Ken,948,,
Gifu Ken,950,,
Shizuoka Ken,984,,
Aichi Ken,1027,,
Mie Ken,973,,
Shiga Ken,967,,
Kyoto Fu,1008,,
Osaka Fu,1064,,
Hyogo Ken,1001,,
Nara Ken,936,,
Wakayama Ken,929,,
Tottori Ken,900,,
Shimane Ken,904,,
Okayama Ken,932,,
Hirohsima Ken,970,,
Yamaguchi Ken,928,,
Tokushima Ken,896,,
Kagawa Ken,918,,
Ehime Ken,897,,
Kochi Ken,897,,
Fukuoka Ken,941,,
Saga Ken,900,,
Nagasaki Ken,898,,
Kumamoto Ken,898,,
Oita Ken,899,,
Miyazaki Ken,897,,
Kagoshima Ken,897,,
Okinawa Ken,896,,
